Date,Close
1/24/2018,19.05
1/25/2018,19.14
1/26/2018,19.2
1/29/2018,18.96
1/30/2018,18.89
1/31/2018,18.76
2/1/2018,19.16
2/2/2018,18.79
2/5/2018,18.44
2/6/2018,18.71
2/7/2018,18.61
2/8/2018,17.73
2/9/2018,18.63
2/12/2018,18.62
2/13/2018,19.42
2/14/2018,19.95
2/15/2018,19.81
2/16/2018,20.96
2/20/2018,21.31
2/21/2018,21.43
2/22/2018,21.03
2/23/2018,21.07
2/26/2018,21.12
2/27/2018,21.03
2/28/2018,25.31
3/1/2018,25.32
3/2/2018,25.71
3/5/2018,25.4
3/6/2018,25.67
3/7/2018,26.09
3/8/2018,26.38
3/9/2018,27.93
3/12/2018,27.93
3/13/2018,27.92
3/14/2018,28.37
3/15/2018,28.38
3/16/2018,28.3
3/19/2018,27.83
3/20/2018,28.31
3/21/2018,28.95
3/22/2018,27.94
3/23/2018,26.64
3/26/2018,27.36
3/27/2018,27.66
3/28/2018,27.91
3/29/2018,28.06
4/2/2018,27.97
4/3/2018,27.83
4/4/2018,27.84
4/5/2018,28.54
4/6/2018,27.63
4/9/2018,27.6
4/10/2018,29.9
4/11/2018,30.2
4/12/2018,30.58
4/13/2018,28.97
4/16/2018,29.39
4/17/2018,30.28
4/18/2018,30.4
4/19/2018,30.23
4/20/2018,30.01
4/23/2018,29.73
4/24/2018,28.97
4/25/2018,28.73
4/26/2018,29.53
4/27/2018,29.5
4/30/2018,29.94
5/1/2018,30.32
5/2/2018,30.77
5/3/2018,30.85
5/4/2018,30.59
5/7/2018,31.42
5/8/2018,31.42
5/9/2018,29.99
5/10/2018,29.28
5/11/2018,30.01
5/14/2018,29.42
5/15/2018,29.09
5/16/2018,29.4
5/17/2018,29.47
5/18/2018,29.64
5/21/2018,29.4
5/22/2018,28.99
5/23/2018,29.38
5/24/2018,29.5
5/25/2018,30.44
5/29/2018,30.41
5/30/2018,31.71
5/31/2018,32.34
6/1/2018,31.62
6/4/2018,31.67
6/5/2018,32.92
6/6/2018,33.48
6/7/2018,33.43
6/8/2018,33.25
6/11/2018,32.05
6/12/2018,33.22
6/13/2018,32.99
6/14/2018,41.65
6/15/2018,42.54
6/18/2018,43.82
6/19/2018,43.33
6/20/2018,44.21
6/21/2018,43.6
6/22/2018,43.18
6/25/2018,41.75
6/26/2018,41.98
6/27/2018,40.42
6/28/2018,42.24
6/29/2018,42.19
7/2/2018,42.78
7/3/2018,42.58
7/5/2018,43.86
7/6/2018,44.71
7/9/2018,44.51
7/10/2018,43.79
7/11/2018,43.39
7/12/2018,43.24
7/13/2018,43
7/16/2018,42.91
7/17/2018,44.25
7/18/2018,44.44
7/19/2018,43.23
7/20/2018,43.8
7/23/2018,43.23
7/24/2018,41.77
7/25/2018,42.98
7/26/2018,42.61
7/27/2018,41.97
7/30/2018,40.23
7/31/2018,40.86
8/1/2018,41.2
8/2/2018,42.4
8/3/2018,41.54
8/6/2018,42.43
8/7/2018,43.84
